"externalId","name","beschreibung","kategorie","adresse","telefon","lat","lng","oeffnungszeiten","angebote","bild","sprachen","zielgruppe"
"DEMO-B01","Bürgerbüro Nordstadt","Anlaufstelle für Anmeldung, Ausweise und Bescheinigungen. Wir helfen beim Ausfüllen von Formularen und erklären, welches Amt wofür zuständig ist.","behoerden","Holländische Straße 74, 34127 Kassel","0561 9990101","","","mo 08:00-12:00;di 08:00-12:00,13:00-16:00;mi 08:00-12:00;do 08:00-12:00,14:00-18:00;fr 08:00-12:00","Anmeldung Wohnsitz|Personalausweis|Beglaubigungen","https://picsum.photos/seed/soko-b01/800/500","de|en|tr",""
"DEMO-B02","Lotsenstelle Behördenpost","Du verstehst einen Brief vom Amt nicht? Wir lesen ihn mit dir durch, erklären die Fristen und sagen dir, was jetzt zu tun ist.","behoerden","Untere Königsstraße 71, 34117 Kassel","0561 9990102","51.3168","9.4964","di 10:00-13:00;do 14:00-17:00","Bescheide erklären|Widerspruch vorbereiten|Fristen prüfen","https://picsum.photos/seed/soko-b02/800/500","de","senioren"
"DEMO-B03","Wohngeldberatung Süd","Beratung rund um Wohngeld, Mietzuschuss und Wohnberechtigungsschein — inklusive Hilfe beim Antrag.","behoerden","Frankfurter Straße 78, 34121 Kassel","","51.3018","9.4836","mo 09:00-12:00;mi 09:00-12:00","Wohngeldantrag|Wohnberechtigungsschein","https://picsum.photos/seed/soko-b03/800/500","de","familien|alleinerziehende"
"DEMO-A01","Ankommen in Kassel","Erste Orientierung für Menschen, die neu in der Stadt sind: Aufenthalt, Sprachkurse, Schule und Alltag. Beratung auf Deutsch, Englisch, Arabisch und Ukrainisch.","asyl","Kurt-Schumacher-Straße 25, 34117 Kassel","0561 9990201","","","mo 09:00-15:00;di 09:00-15:00;mi 09:00-15:00;do 09:00-18:00;fr 09:00-13:00","Aufenthaltstitel|Sprachkurs finden|Schulanmeldung|Dolmetschen","https://picsum.photos/seed/soko-a01/800/500","de|en|ar|uk","gefluechtete"
"DEMO-A02","Beratung für Familiennachzug","Begleitung bei Anträgen zum Familiennachzug: welche Nachweise nötig sind, wie lange es dauert und was bei einer Ablehnung möglich ist.","asyl","Wolfsschlucht 20, 34117 Kassel","0561 9990202","51.3145","9.4931","di 13:00-17:00;do 13:00-17:00","Familiennachzug|Visumsverfahren|Übersetzungen","https://picsum.photos/seed/soko-a02/800/500","de|ar|fa","familien|gefluechtete"
"DEMO-A03","Offene Sprechstunde Ankommen","Ohne Termin, ohne Anmeldung: komm einfach vorbei. Wir hören zu und vermitteln dich an die richtige Stelle weiter.","asyl","Weserstraße 26, 34125 Kassel","","51.3252","9.5041","mi 15:00-18:00","Offene Sprechstunde|Weitervermittlung","https://picsum.photos/seed/soko-a03/800/500","de|uk|ru","gefluechtete"
"DEMO-F01","Familienzentrum Nord","Beratung zu Kita-Platz, Elterngeld und Erziehungsfragen. Dazu offene Treffs für Eltern mit kleinen Kindern.","familie","Mombachstraße 12, 34127 Kassel","0561 9990301","","","mo 08:00-15:00;di 08:00-15:00;mi 08:00-15:00;do 08:00-17:00","Kita-Anmeldung|Elterngeld|Elterncafé","https://picsum.photos/seed/soko-f01/800/500","de|tr","familien|kinder"
"DEMO-F02","Beratung bei Trennung","Wenn Eltern sich trennen: Umgangsrecht, Unterhalt und wie ihr das mit den Kindern besprecht. Auch einzeln möglich.","familie","Wilhelmshöher Allee 64, 34119 Kassel","0561 9990302","51.3128","9.4664","mo 14:00-18:00;mi 09:00-12:00","Umgangsregelung|Unterhaltsfragen|Begleitete Gespräche","https://picsum.photos/seed/soko-f02/800/500","de","familien"
"DEMO-F03","Alleinerziehenden-Treff","Austausch und Beratung für Alleinerziehende: finanzielle Hilfen, Kinderbetreuung und der Alltag zwischen Job und Kind.","familie","Schillerstraße 24, 34117 Kassel","","51.3096","9.4801","do 16:00-19:00","Kinderzuschlag|Betreuung organisieren|Gruppentreffen","https://picsum.photos/seed/soko-f03/800/500","de|pl","alleinerziehende"
"DEMO-G01","Suchtberatung Mitte","Vertrauliche Beratung bei Alkohol, Medikamenten, Cannabis und Glücksspiel — für Betroffene und für Angehörige.","gesundheit","Königstor 34, 34119 Kassel","0561 9990401","","","mo 09:00-12:00;di 14:00-18:00;do 09:00-12:00","Einzelberatung|Angehörigengruppe|Vermittlung Entzug","https://picsum.photos/seed/soko-g01/800/500","de",""
"DEMO-G02","Psychosoziale Anlaufstelle","Wenn alles zu viel wird: ein Gespräch ohne Wartezeit und ohne Diagnose. Wir klären mit dir gemeinsam die nächsten Schritte.","gesundheit","Ständeplatz 13, 34117 Kassel","0561 9990402","51.3134","9.4883","mo 10:00-16:00;di 10:00-16:00;mi 10:00-16:00;do 10:00-16:00;fr 10:00-13:00","Krisengespräch|Vermittlung Therapieplatz|Begleitung Klinik","https://picsum.photos/seed/soko-g02/800/500","de|en","jugendliche"
"DEMO-G03","Gesundheit ohne Versicherung","Beratung für Menschen ohne Krankenversicherung: welche Behandlung möglich ist und wie du wieder in eine Versicherung kommst.","gesundheit","Werner-Hilpert-Straße 14, 34117 Kassel","","51.3178","9.4913","mi 14:00-17:00","Behandlungsschein|Wiederaufnahme Versicherung","https://picsum.photos/seed/soko-g03/800/500","de|ar|ro","gefluechtete"
